taxonId;taxaGroup;scientificName;vernacularName;family;taxonLabel;ndffIdentity;threatStatus;occurenceStatus;taxaSubgroup;isAcceptedName;scientificNameAuthorship;updated
8268;V;Lathyrus odoratus;Pronkerwt;Fabaceae;8268;http://ndff-ecogrid.nl/taxonomy/taxa/lathyrusodoratus;;zz;S;0;L.;08/22/2022 12:21:30
8269;V;Lathyrus vernus;Voorjaarslathyrus;Fabaceae;8269;http://ndff-ecogrid.nl/taxonomy/taxa/lathyrusvernus;;zzz;S;0;(L.) Bernh.;08/22/2022 12:21:30
8270;V;Lavandula multifida;Veelspletige lavendel;Lamiaceae;8270;http://ndff-ecogrid.nl/taxonomy/taxa/lavandulamultifida;;zzz;S;0;L.;01/24/2025 10:12:26
8271;V;Lavandula stoechas;;Lamiaceae;8271;http://ndff-ecogrid.nl/taxonomy/taxa/lavandulastoechas;;zzz;S;0;L.;08/22/2022 12:21:30
8272;V;Malva thuringiaca;;Malvaceae;8272;http://ndff-ecogrid.nl/taxonomy/taxa/malvathuringiaca;;zz;S;-1;(L.) Vis.;08/22/2022 12:21:30
8273;V;Malva trimestris;Grootbloemige lavatera;Malvaceae;8273;http://ndff-ecogrid.nl/taxonomy/taxa/malvatrimestris;;zz;S;-1;(L.) Salisb.;08/22/2022 12:21:30
8274;V;Leonurus sibiricus;Siberisch hartgespan;Lamiaceae;8274;http://ndff-ecogrid.nl/taxonomy/taxa/leonurussibiricus;;zzz;S;0;L.;01/24/2025 10:12:26
8275;V;Leucothoe fontanesiana;;Ericaceae;8275;http://ndff-ecogrid.nl/taxonomy/taxa/leucothoefontanesiana;;zzz;S;0;(Steud.) Sleumer;10/10/2025 12:39:46
8276;V;Ligularia dentata;;Asteraceae;8276;http://ndff-ecogrid.nl/taxonomy/taxa/ligulariadentata;;zzz;S;0;(A. Gray) H. Hara;10/10/2025 12:39:46
8277;V;Ligularia stenocephala;;Asteraceae;8277;http://ndff-ecogrid.nl/taxonomy/taxa/ligulariastenocephala;;zzz;S;0;(Maxim.) Matsum. & Koidz.;08/22/2022 12:21:30
8278;V;Linum grandiflorum;Rood vlas;Linaceae;8278;http://ndff-ecogrid.nl/taxonomy/taxa/linumgrandiflorum;;zz;S;-1;Desf.;01/24/2025 10:12:26
8279;V;Linum perenne;;Linaceae;8279;http://ndff-ecogrid.nl/taxonomy/taxa/linumperenne;;zz;S;-1;L.;08/22/2022 12:21:30
8280;V;Lobelia pedunculata;Gazonlobelia;Campanulaceae;8280;http://ndff-ecogrid.nl/taxonomy/taxa/lobeliapedunculata;;zz;S;-1;R. Br.;08/22/2022 12:21:30
8281;V;Lobelia urens;Brandlobelia;Campanulaceae;8281;http://ndff-ecogrid.nl/taxonomy/taxa/lobeliaurens;;zzz;S;0;L.;08/22/2022 12:21:30
8282;V;Lonicera acuminata;;Caprifoliaceae;8282;http://ndff-ecogrid.nl/taxonomy/taxa/loniceraacuminata;;zz;S;0;Wall.;08/22/2022 12:21:30
8283;V;Lonicera involucrata;;Caprifoliaceae;8283;http://ndff-ecogrid.nl/taxonomy/taxa/lonicerainvolucrata;;zz;S;0;(Richardson) Banks ex Spreng.;09/15/2022 22:26:10
8284;V;Lonicera japonica;;Caprifoliaceae;8284;http://ndff-ecogrid.nl/taxonomy/taxa/lonicerajaponica;;zz;S;0;Thunb.;08/22/2022 12:21:30
8285;V;Lopezia racemosa;;Onagraceae;8285;http://ndff-ecogrid.nl/taxonomy/taxa/lopeziaracemosa;;zzz;S;0;Cav.;08/22/2022 12:21:30
8286;V;Lysimachia ciliata;;Primulaceae;8286;http://ndff-ecogrid.nl/taxonomy/taxa/lysimachiaciliata;;zzz;S;-1;L.;08/22/2022 12:21:30
8287;V;Lysimachia clethroides;;Primulaceae;8287;http://ndff-ecogrid.nl/taxonomy/taxa/lysimachiaclethroides;;zzz;S;0;Duby;08/22/2022 12:21:30
8288;V;Macleaya microcarpa;;Papaveraceae;8288;http://ndff-ecogrid.nl/taxonomy/taxa/macleayamicrocarpa;;zzz;S;0;(Maxim.) Fedde;08/22/2022 12:21:30
8289;V;Berberis japonica;;Berberidaceae;8289;http://ndff-ecogrid.nl/taxonomy/taxa/berberisjaponica;;zz;S;0;(Thunb.) Spreng.;08/22/2022 12:21:30
8290;V;Malope trifida;;Malvaceae;8290;http://ndff-ecogrid.nl/taxonomy/taxa/malopetrifida;;zzz;S;0;Cav.;10/10/2025 12:39:46
8291;V;Malus transitoria;;Rosaceae;8291;http://ndff-ecogrid.nl/taxonomy/taxa/malustransitoria;;zzz;S;0;(Batalin) C.K. Schneid.;09/15/2022 22:26:10
8292;V;Malva nicaeensis;;Malvaceae;8292;http://ndff-ecogrid.nl/taxonomy/taxa/malvanicaeensis;;zzz;S;0;All.;08/22/2022 12:21:30
8293;V;Melittis melissophyllum;Bijenblad;Lamiaceae;8293;http://ndff-ecogrid.nl/taxonomy/taxa/melittismelissophyllum;;;S;0;L.;08/22/2022 12:21:30
8294;V;Mentha requienii;Dwergmunt;Lamiaceae;8294;http://ndff-ecogrid.nl/taxonomy/taxa/mentharequienii;;zzz;S;-1;Benth.;08/22/2022 12:21:30
8295;V;Mimulus ringens;Blauwe maskerbloem;Phrymaceae;8295;http://ndff-ecogrid.nl/taxonomy/taxa/mimulusringens;;zzz;S;0;L.;01/24/2025 10:12:26
8296;V;Miscanthus sacchariflorus;Groot prachtriet;Poaceae;8296;http://ndff-ecogrid.nl/taxonomy/taxa/miscanthussacchariflorus;;zz;E;-1;(Maxim.) Hack.;08/22/2022 12:21:30
8297;V;Moluccella laevis;;Lamiaceae;8297;http://ndff-ecogrid.nl/taxonomy/taxa/moluccellalaevis;;zzz;S;0;L.;10/10/2025 12:39:46
8298;V;Monarda didyma;Gewone bergamotplant;Lamiaceae;8298;http://ndff-ecogrid.nl/taxonomy/taxa/monardadidyma;;zzz;S;0;L.;01/24/2025 10:12:26
8299;V;Muscari azureum;Azuurblauwe druifhyacint;Asparagaceae;8299;http://ndff-ecogrid.nl/taxonomy/taxa/muscariazureum;;zzz;E;0;Fenzl;01/24/2025 10:12:26
8300;V;Myosotis alpestris;Alpenvergeet-mij-nietje;Boraginaceae;8300;http://ndff-ecogrid.nl/taxonomy/taxa/myosotisalpestris;;zzz;S;0;F.W.Schmidt;01/24/2025 10:12:26
8301;V;Napaea dioica;;Malvaceae;8301;http://ndff-ecogrid.nl/taxonomy/taxa/napaeadioica;;;S;0;L.;08/22/2022 12:21:30
8302;V;Narcissus cyclamineus;Moerasnarcis;Amaryllidaceae;8302;http://ndff-ecogrid.nl/taxonomy/taxa/narcissuscyclamineus;;zz;E;0;DC.;01/24/2025 10:12:26
8303;V;Nemophila maculata;;Boraginaceae;8303;http://ndff-ecogrid.nl/taxonomy/taxa/nemophilamaculata;;zzz;S;-1;Benth. ex Lindl.;10/10/2025 12:39:46
8304;V;Nemophila menziesii;Bosliefje;Boraginaceae;8304;http://ndff-ecogrid.nl/taxonomy/taxa/nemophilamenziesii;;zz;S;-1;Hook. & Arn.;10/10/2025 12:39:46
8305;V;Nerium oleander;Oleander;Apocynaceae;8305;http://ndff-ecogrid.nl/taxonomy/taxa/neriumoleander;;zzz;S;0;L.;08/22/2022 12:21:30
8306;V;Nicotiana langsdorfii;;Solanaceae;8306;http://ndff-ecogrid.nl/taxonomy/taxa/nicotianalangsdorfii;;zzz;S;0;Schrank;08/22/2022 12:21:30
8307;V;Nicotiana suaveolens;Australische tabak;Solanaceae;8307;http://ndff-ecogrid.nl/taxonomy/taxa/nicotianasuaveolens;;zzz;S;0;Lehm.;01/24/2025 10:12:26
